dataset,seed,method,beta_scale,Delta_I
PubMed,1,Betweenness,1.2,0.9378805438160702
PubMed,2,Ours,1.2,0.1473337574884787
PubMed,2,PageRank,1.2,0.9530529408363713
PubMed,2,Degree,1.2,0.9550280735499674
PubMed,2,Betweenness,1.2,0.9435753841220518
PubMed,3,Ours,1.2,0.17837622684192317
PubMed,3,PageRank,1.2,0.9597043616055895
PubMed,3,Degree,1.2,0.9634852038789863
PubMed,3,Betweenness,1.2,0.9441110737935169
PubMed,4,Ours,1.2,0.24138331519570103
PubMed,4,PageRank,1.2,0.9367290064211147
PubMed,4,Degree,1.2,0.9394801853825792
PubMed,4,Betweenness,1.2,0.9316958609196302
PubMed,0,Ours,1.5,0.30431967819859956
PubMed,0,PageRank,1.5,0.9823006425705852
PubMed,0,Degree,1.5,0.983651436191869
PubMed,0,Betweenness,1.5,0.9658851380170101
PubMed,1,Ours,1.5,0.164229220275345
PubMed,1,PageRank,1.5,0.9867874236712587
PubMed,1,Degree,1.5,0.988978470242238
PubMed,1,Betweenness,1.5,0.9629271854072206
PubMed,2,Ours,1.5,0.18152351996586266
PubMed,2,PageRank,1.5,0.9859854200649097
PubMed,2,Degree,1.5,0.987517984551782
PubMed,2,Betweenness,1.5,0.9741515876589372
PubMed,3,Ours,1.5,0.2250315185195302
PubMed,3,PageRank,1.5,0.9872860789279244
PubMed,3,Degree,1.5,0.9897542000128472
PubMed,3,Betweenness,1.5,0.9631302004214315
PubMed,4,Ours,1.5,0.21098325822258662
PubMed,4,PageRank,1.5,0.9826991264889954
PubMed,4,Degree,1.5,0.9839888128112866
PubMed,4,Betweenness,1.5,0.9706915078001006
PubMed,0,Ours,2.0,0.2292239911833811
PubMed,0,PageRank,2.0,0.9899236597744989
PubMed,0,Degree,2.0,0.9949166754319042
PubMed,0,Betweenness,2.0,0.9683371225743539
PubMed,1,Ours,2.0,0.17170859137918404
PubMed,1,PageRank,2.0,0.988055149039901
PubMed,1,Degree,2.0,0.996127202439229
PubMed,1,Betweenness,2.0,0.9531981393041355
PubMed,2,Ours,2.0,0.13878297683188406
PubMed,2,PageRank,2.0,0.9899742235201298
PubMed,2,Degree,2.0,0.9952082987410824
PubMed,2,Betweenness,2.0,0.9677217079119906
PubMed,3,Ours,2.0,0.1469856636057584
PubMed,3,PageRank,2.0,0.9886433898515524
PubMed,3,Degree,2.0,0.9959923557090903
PubMed,3,Betweenness,2.0,0.945920812873043
PubMed,4,Ours,2.0,0.15929940842340595
