node,throughput_raw,delay_raw,loss_raw,txPackets,rxPackets,bytes_,uptime_ratio,degree_centrality,closeness,betweenness,clustering_coeff,k_shell,throughput,delay,loss,soft_label,run_split,mask,true_label
94,295.67676767676767,0.244062349478191,0.6999116678711957,12453,3737,2195400,1.0,0.0309278350515463,0.2031413612565445,0.008083191757942,0.0666666666666666,4,17.195254248680584,0.803818233402401,0.3000883321288042,0.2380269,val,0,0.2380269
95,715.6482154882154,0.1828828202581926,0.4688468385310212,15167,8056,5313688,1.0,0.0257731958762886,0.2020833333333333,0.0040495244477403,0.2,4,26.751602129371904,0.8453922762879639,0.5311531614689787,0.3046602,val,0,0.3046602
96,0.0,0.0,1.0,6458,0,0,1.0,0.0206185567010309,0.1735241502683363,0.0003650995598541,0.0,4,0.001,1.0,0.0,0.11428386,val,0,0.11428386
97,439.7909764309764,0.0849544092018124,0.8326381799620826,34285,5738,3265448,1.0,0.0360824742268041,0.2042105263157894,0.0100466923232801,0.0952380952380952,4,20.971193991544126,0.921697715147024,0.1673618200379174,0.30620858,val,0,0.30620858
98,28.490774410774407,0.1441221234309623,0.6357054396494236,10497,3824,211544,1.0,0.0257731958762886,0.1738351254480286,0.0006874336010065,0.3,4,5.337675094156107,0.8740325700557446,0.3642945603505764,0.16900122,val,0,0.16900122
99,1210.175892255892,0.7301608337221964,0.5431785883467551,42220,19287,8985556,1.0,0.0360824742268041,0.2042105263157894,0.0038949361448159,0.1904761904761904,4,34.787582457766334,0.5779809486547222,0.4568214116532448,0.26420432,val,0,0.26420432
100,503.0658585858585,0.3534039829302988,0.4164591485829479,8433,4921,3735264,1.0,0.0309278350515463,0.174303683737646,0.0010545834700527,0.2,4,22.429129710843853,0.7388776836867789,0.583540851417052,0.23027927,val,0,0.23027927
101,0.0,0.0,1.0,7754,0,0,1.0,0.0257731958762886,0.2031413612565445,0.004039051298813,0.1,4,0.001,1.0,0.0,0.18553239,val,0,0.18553239
102,13.908686868686868,0.0099439385628085,0.9547294444858327,40269,1823,103272,1.0,0.0257731958762886,0.2027168234064786,0.0025030055143296,0.3,4,3.729435328395824,0.9901539697570152,0.0452705555141672,0.20917836,val,0,0.20917836
103,405.850505050505,0.3832585159757063,0.694448926900113,12394,3787,3013440,1.0,0.0206185567010309,0.2016632016632016,0.0004391997381153,0.1666666666666666,4,20.14573170799475,0.7229306658521687,0.305551073099887,0.17417565,val,0,0.17417565
104,0.0,0.0,1.0,38449,0,0,1.0,0.0412371134020618,0.2042105263157894,0.0026289183933006,0.1785714285714285,4,0.001,1.0,0.0,0.25231627,val,0,0.25231627
105,466.847138047138,0.2003972685887708,0.5045112781954887,6650,3295,3466340,1.0,0.0257731958762886,0.2025052192066805,0.0005888279885395,0.1,4,21.60664571485213,0.8330575436710507,0.4954887218045113,0.26936066,val,0,0.26936066
